点号    X坐标           Y坐标           大地高        正常高      高程异常
8       3566375.346     499179.74       26.424      5.3896      21.0344
23      3566854.849     498567.506      30.741      9.7334      21.0076
10      3566324.251     498659.474      25.79       4.7728      21.0172
5       3563826.318     499348.917      30.059      9.003       21.056
7       3564312.203     500321.498      31.206      10.1204     21.0856
11      3564001.762     500035.27       31.338      10.2591     21.0789
22      3567961.396     498691.018      30.16       9.1622      20.9978
26      3567524.909     500219.017      31.183      10.1314     21.0516
4       3565549.066     498813.558      31.11       10.0815     21.0285
28      3568016.26      499235.369      30.332      9.3182      21.0138
2       3565858.08      499248.000      31.225      10.1818     21.0432
3       3564029.592     499613.378      30.134      9.0686      21.0654
6       3566091.401     499632.434      30.709      9.6536      21.0554
9       3564827.161     500392.773      29.487      8.4044      21.0826
21      3566814.699     499080.199      30.989      9.9617      21.0273
1       3564231.786     499937.723      30.442      9.3636      21.0744
20      3567660.247     499189.334      31.128      10.111      21.0170
