点号            X                   Y           高程异常
GPS06       4154185.971         558305.524      38.2563
GPS07       4155380.752         559963.883      38.2646
GPS08       4155504.779         560619.363      38.2765
GPS09       4155309.852         561094.287      38.2666
GPS10       4154825.875         560805.643      38.2632
GPS11       4156208.727         560665.565      38.2781
GPS12       4156071.540         559598.968      38.2988
GPS13       4155915.030         559143.302      37.0901
GPS14       4155949.814         558698.832      37.0905
GPS15       4155625.346         557726.548      37.1123
GPS01       4154407.834         559817.796      38.2829
GPS02       4154803.462         559656.492      38.2864
GPS03       4155353.868         559432.986      38.2944
GPS04       4155287.665         558997.709      38.3023
GPS05       4155152.187         558338.321      38.3121
GPS16       4156314.310         557349.228      37.1185
GPS17       4156434.323         559132.938      37.0970
GPS18       4156985.085         558978.754      37.0993
GPS19       4157503.413         558813.413      37.1015
GPS20       4157900.942         558711.227      37.1046
GPS21       4156375.016         559708.302      38.2997
